Day #,Hebrew Date,Weekday,Schedule,Parsha,Completes
1,1 Tishrei,Saturday,Rosh Hashanah 1-2,RH I,
2,2 Tishrei,Sunday,Rosh Hashanah 3-4,RH II,Rosh Hashanah
3,3 Tishrei,Monday,Hagigah 1-2,,
4,4 Tishrei,Tuesday,Hagigah 3,,Hagigah
5,5 Tishrei,Wednesday,Yoma 1-2,,
6,6 Tishrei,Thursday,Yoma 3-4,,
7,7 Tishrei,Friday,Yoma 5-6,,
8,8 Tishrei,Saturday,,Ha'azinu,
9,9 Tishrei,Sunday,,Erev Yom Kippur,
10,10 Tishrei,Monday,Yoma 7-8,YK,Yoma
11,11 Tishrei,Tuesday,Beitzah 1-2,,
12,12 Tishrei,Wednesday,Beitzah 3-4,,
13,13 Tishrei,Thursday,Beitzah 5,,Beitzah
14,14 Tishrei,Friday,,Erev Sukkot,
15,15 Tishrei,Saturday,Sukkah 1-2,Sukkot I,
16,16 Tishrei,Sunday,Sukkah 3-4,Sukkot II,
17,17 Tishrei,Monday,Sukkah 5,Sukkot III,Sukkah
18,18 Tishrei,Tuesday,Moed Katan 1-2,Sukkot IV,
19,19 Tishrei,Wednesday,Moed Katan 3,Sukkot V,Moed Katan
20,20 Tishrei,Thursday,Taanit 1-2,Sukkot VI,
21,21 Tishrei,Friday,,Sukkot VII/Erev SA,
22,22 Tishrei,Saturday,Taanit 3-4,SA,Ta'anit
23,23 Tishrei,Sunday,,ST,
24,24 Tishrei,Monday,Shabbat 1-2,,
25,25 Tishrei,Tuesday,Shabbat 3-4,,
26,26 Tishrei,Wednesday,Shabbat 5-6,,
27,27 Tishrei,Thursday,Shabbat 7-8,,
28,28 Tishrei,Friday,,,
29,29 Tishrei,Saturday,,Bereishit,
30,30 Tishrei,Sunday,Shabbat 9-10,,
31,1 Marheshvan,Monday,Shabbat 11-12,,
32,2 Marheshvan,Tuesday,Shabbat 13-14,,
33,3 Marheshvan,Wednesday,Shabbat 15-16,,
34,4 Marheshvan,Thursday,Shabbat 17-18,,
35,5 Marheshvan,Friday,,,
36,6 Marheshvan,Saturday,,Noah,
37,7 Marheshvan,Sunday,Shabbat 19-20,,
38,8 Marheshvan,Monday,Shabbat 21-22,,
39,9 Marheshvan,Tuesday,Shabbat 23-24,,Shabbat
40,10 Marheshvan,Wednesday,Eruvin 1-2,,
41,11 Marheshvan,Thursday,Eruvin 3-4,,
42,12 Marheshvan,Friday,,,
43,13 Marheshvan,Saturday,,Lekh-Lekha,
44,14 Marheshvan,Sunday,Eruvin 5-6,,
45,15 Marheshvan,Monday,Eruvin 7-8,,
46,16 Marheshvan,Tuesday,Eruvin 9-10,,Eruvin
47,17 Marheshvan,Wednesday,Berakhot 1-2,,
48,18 Marheshvan,Thursday,Berakhot 3-4,,
49,19 Marheshvan,Friday,,,
50,20 Marheshvan,Saturday,,Vayera,
51,21 Marheshvan,Sunday,Berakhot 5-6,,
52,22 Marheshvan,Monday,Berakhot 7-8,,
53,23 Marheshvan,Tuesday,Berakhot 9,,Berakhot
54,24 Marheshvan,Wednesday,Peah 1-2,,
55,25 Marheshvan,Thursday,Peah 3-4,,
56,26 Marheshvan,Friday,,,
57,27 Marheshvan,Saturday,,Hayyei Sarah,
58,28 Marheshvan,Sunday,Peah 5-6,,
59,29 Marheshvan,Monday,Peah 7-8,,Peah
60,30 Marheshvan,Tuesday,Demai 1-2,,
61,1 Kislev,Wednesday,Demai 3-4,,
62,2 Kislev,Thursday,Demai 5-6,,
63,3 Kislev,Friday,Demai 7,,Demai
64,4 Kislev,Saturday,,Toldot,
65,5 Kislev,Sunday,Kilayim 1-2,,
66,6 Kislev,Monday,Kilayim 3-4,,
67,7 Kislev,Tuesday,Kilayim 5-6,,
68,8 Kislev,Wednesday,Kilayim 7-8,,
69,9 Kislev,Thursday,Kilayim 9,,Kilayim
70,10 Kislev,Friday,,,
71,11 Kislev,Saturday,,Vayetzei,
72,12 Kislev,Sunday,Terumot 1-2,,
73,13 Kislev,Monday,Terumot 3-4,,
74,14 Kislev,Tuesday,Terumot 5-6,,
75,15 Kislev,Wednesday,Terumot 7-8,,
76,16 Kislev,Thursday,Terumot 9-10,,
77,17 Kislev,Friday,Terumot 11; Hullin 7,,Terumot
78,18 Kislev,Saturday,,Vayishlah,
79,19 Kislev,Sunday,Ma'aserot 1-2,,
80,20 Kislev,Monday,Ma'aserot 3-4,,
81,21 Kislev,Tuesday,Ma'aserot 5; Ma'aser Sheni 1,,Maaserot
82,22 Kislev,Wednesday,Ma'aser Sheni 2-3,,
83,23 Kislev,Thursday,Ma'aser Sheni 4-5,,Maaser Sheni
84,24 Kislev,Friday,,,
85,25 Kislev,Saturday,,Vayeshev,
86,26 Kislev,Sunday,Hallah 1-2,,
87,27 Kislev,Monday,Hallah 3-4,,Hallah
88,28 Kislev,Tuesday,Orlah 1-2,,
89,29 Kislev,Wednesday,Orlah 3,,Orlah
90,30 Kislev,Thursday,,,
91,1 Tevet,Friday,,,
92,2 Tevet,Saturday,,Miketz,
93,3 Tevet,Sunday,Keilim 1-2,,
94,4 Tevet,Monday,Keilim 3-4,,
95,5 Tevet,Tuesday,Keilim 5-6,,
96,6 Tevet,Wednesday,Keilim 7-8,,
97,7 Tevet,Thursday,Keilim 9-10,,
98,8 Tevet,Friday,,,
99,9 Tevet,Saturday,,Vayigash,
100,10 Tevet,Sunday,Keilim 11-12,,
101,11 Tevet,Monday,Keilim 13-14,,
102,12 Tevet,Tuesday,Keilim 15-16,,
103,13 Tevet,Wednesday,Keilim 17-18,,
104,14 Tevet,Thursday,Keilim 19-20,,
105,15 Tevet,Friday,,,
106,16 Tevet,Saturday,,Vayehi,
107,17 Tevet,Sunday,Keilim 21-22,,
108,18 Tevet,Monday,Keilim 23-24,,
109,19 Tevet,Tuesday,Keilim 25-26,,
110,20 Tevet,Wednesday,Keilim 27-28,,
111,21 Tevet,Thursday,Keilim 29-30,,Keilim
112,22 Tevet,Friday,,,
113,23 Tevet,Saturday,,Shemot,
114,24 Tevet,Sunday,Tahorot 1-2,,
115,25 Tevet,Monday,Tahorot 3-4,,
116,26 Tevet,Tuesday,Tahorot 5-6,,
117,27 Tevet,Wednesday,Tahorot 7-8,,
118,28 Tevet,Thursday,Tahorot 9-10,,Tahorot
119,29 Tevet,Friday,,,
120,1 Shevat,Saturday,,Vaera,
121,2 Shevat,Sunday,Bekhorot 1-2,,
122,3 Shevat,Monday,Bekhorot 3-4,,
123,4 Shevat,Tuesday,Bekhorot 5-6,,
