Day #,Hebrew Date,Weekday,Schedule,Parsha,Completes
1,1 Tishrei,Saturday,,RH I,
2,2 Tishrei,Sunday,Rosh Hashanah 1-2,RH II,
3,3 Tishrei,Monday,Rosh Hashanah 3-4,,
4,4 Tishrei,Tuesday,Beitzah 1-3,,
5,5 Tishrei,Wednesday,Beitzah 4-5,,
6,6 Tishrei,Thursday,Yoma 1-3,,
7,7 Tishrei,Friday,Yoma 4-6,,
8,8 Tishrei,Saturday,,Ha'azinu,
9,9 Tishrei,Sunday,,Erev Yom Kippur,
10,10 Tishrei,Monday,Yoma 7-8,YK,
11,11 Tishrei,Tuesday,,,
12,12 Tishrei,Wednesday,Hagigah 1-2,,
13,13 Tishrei,Thursday,Hagigah 3,,
14,14 Tishrei,Friday,,Erev Sukkot,
15,15 Tishrei,Saturday,,Sukkot I,
16,16 Tishrei,Sunday,Sukkah 1-2,Sukkot II,
17,17 Tishrei,Monday,Sukkah 3-4,Sukkot III,
18,18 Tishrei,Tuesday,Sukkah 5,Sukkot IV,
19,19 Tishrei,Wednesday,Moed Katan 1-2,Sukkot V,
20,20 Tishrei,Thursday,Moed Katan 3,Sukkot VI,
21,21 Tishrei,Friday,,Sukkot VII/Erev SA,
22,22 Tishrei,Saturday,,SA,
23,23 Tishrei,Sunday,,ST,
24,24 Tishrei,Monday,Taanit 1-2,,
25,25 Tishrei,Tuesday,Taanit 3-4,,
26,26 Tishrei,Wednesday,Shabbat 1-2,,
27,27 Tishrei,Thursday,Shabbat 3-4,,
28,28 Tishrei,Friday,,,
29,29 Tishrei,Saturday,,Bereshit,
30,30 Tishrei,Sunday,Shabbat 5-6,,
31,1 Marheshvan,Monday,Shabbat 7-8,,
32,2 Marheshvan,Tuesday,Shabbat 9-10,,
33,3 Marheshvan,Wednesday,Shabbat 11-12,,
34,4 Marheshvan,Thursday,Shabbat 13-14,,
35,5 Marheshvan,Friday,,,
36,6 Marheshvan,Saturday,,Noah,
37,7 Marheshvan,Sunday,Shabbat 15-16,,
38,8 Marheshvan,Monday,Shabbat 17-18,,
39,9 Marheshvan,Tuesday,Shabbat 19-20,,
40,10 Marheshvan,Wednesday,Shabbat 21-22,,
41,11 Marheshvan,Thursday,Shabbat 23-24,,
42,12 Marheshvan,Friday,Eruvin 1-2,,
43,13 Marheshvan,Saturday,,Lekh-Lekha,
44,14 Marheshvan,Sunday,Eruvin 3-4,,
45,15 Marheshvan,Monday,Eruvin 5-6,,
46,16 Marheshvan,Tuesday,Eruvin 7-8,,
47,17 Marheshvan,Wednesday,Eruvin 9-10,,
48,18 Marheshvan,Thursday,Berakhot 1-2,,
49,19 Marheshvan,Friday,,,
50,20 Marheshvan,Saturday,,Vayera,
51,21 Marheshvan,Sunday,Berakhot 3-4,,
52,22 Marheshvan,Monday,Berakhot 5-6,,
53,23 Marheshvan,Tuesday,Berakhot 7-8,,
54,24 Marheshvan,Wednesday,Berakhot 9,,
55,25 Marheshvan,Thursday,Peah 1-2,,
56,26 Marheshvan,Friday,Peah 3-4,,
57,27 Marheshvan,Saturday,,Chayei Sarah,
58,28 Marheshvan,Sunday,Peah 5-6,,
59,29 Marheshvan,Monday,Peah 7-8,,
60,30 Marheshvan,Tuesday,Demai 1-2,,
61,1 Kislev,Wednesday,Demai 3-4,,
62,2 Kislev,Thursday,Demai 5-6,,
63,3 Kislev,Friday,,,
64,4 Kislev,Saturday,,Toldot,
65,5 Kislev,Sunday,Demai 7,,
66,6 Kislev,Monday,Kilayim 1-2,,
67,7 Kislev,Tuesday,Kilayim 3-4,,
68,8 Kislev,Wednesday,Kilayim 5-6,,
69,9 Kislev,Thursday,Kilayim 7-8,,
70,10 Kislev,Friday,Kilayim 9,,
71,11 Kislev,Saturday,,Vayetzei,
72,12 Kislev,Sunday,Sheviit 1-2,,
73,13 Kislev,Monday,Sheviit 3-4,,
74,14 Kislev,Tuesday,Sheviit 5-6,,
75,15 Kislev,Wednesday,Sheviit 7-8,,
76,16 Kislev,Thursday,Sheviit 9-10,,
77,17 Kislev,Friday,,,
78,18 Kislev,Saturday,,Vayishlach,
79,19 Kislev,Sunday,Terumot 1-2,,
80,20 Kislev,Monday,Terumot 3-4,,
81,21 Kislev,Tuesday,Terumot 5-6,,
82,22 Kislev,Wednesday,Terumot 7-8,,
83,23 Kislev,Thursday,Terumot 9-10,,
84,24 Kislev,Friday,Terumot 11,,
85,25 Kislev,Saturday,,Vayeshev,
86,26 Kislev,Sunday,Ma'aserot 1-2,,
87,27 Kislev,Monday,Ma'aserot 3-4,,
88,28 Kislev,Tuesday,Ma'aserot 5,,
89,29 Kislev,Wednesday,Ma'aser Sheni 1-2,,
90,30 Kislev,Thursday,Ma'aser Sheni 3-4,,
91,1 Tevet,Friday,,,
92,2 Tevet,Saturday,,Miketz,
93,3 Tevet,Sunday,Ma'aser Sheni 5,,
94,4 Tevet,Monday,Hallah 1-2,,
95,5 Tevet,Tuesday,Hallah 3-4,,
96,6 Tevet,Wednesday,Orlah 1-2,,
97,7 Tevet,Thursday,Orlah 3,,
98,8 Tevet,Friday,,,
99,9 Tevet,Saturday,,Vayigash,
100,10 Tevet,Sunday,Keilim 1-2,,
101,11 Tevet,Monday,Keilim 3-4,,
102,12 Tevet,Tuesday,Keilim 5-6,,
103,13 Tevet,Wednesday,Keilim 7-8,,
104,14 Tevet,Thursday,Keilim 9-10,,
105,15 Tevet,Friday,Keilim 11-12,,
106,16 Tevet,Saturday,,Vayechi,
107,17 Tevet,Sunday,Keilim 13-14,,
108,18 Tevet,Monday,Keilim 15-16,,
109,19 Tevet,Tuesday,Keilim 17-18,,
110,20 Tevet,Wednesday,Keilim 19-20,,
111,21 Tevet,Thursday,Keilim 21-22,,
