Day #,Hebrew Date,Weekday,Schedule,Parsha,Completes
1,1 Tishrei,Tuesday,Rosh Hashanah 1-2,RH I,
2,2 Tishrei,Wednesday,Rosh Hashanah 3-4,RH II,
3,3 Tishrei,Thursday,Beitzah 1-2,,
4,4 Tishrei,Friday,Beitzah 3-5,,
5,5 Tishrei,Saturday,,Vayeilech,"Rosh Hashanah, Beitzah"
6,6 Tishrei,Sunday,Yoma 1-2,,
7,7 Tishrei,Monday,Yoma 3-4,,
8,8 Tishrei,Tuesday,Yoma 5-6,,
9,9 Tishrei,Wednesday,,Erev Yom Kippur,
10,10 Tishrei,Thursday,Yoma 7-8,YK,Yoma
11,11 Tishrei,Friday,Hagigah 1-2,,
12,12 Tishrei,Saturday,,Ha'azinu,
13,13 Tishrei,Sunday,Hagigah 3,,
14,14 Tishrei,Monday,,Erev Sukkot,Hagigah
15,15 Tishrei,Tuesday,Sukkah 1-2,Sukkot I,
16,16 Tishrei,Wednesday,Sukkah 3-4,Sukkot II,
17,17 Tishrei,Thursday,Sukkah 5,Sukkot III,
18,18 Tishrei,Friday,Moed Katan 1-2,Sukkot IV,
19,19 Tishrei,Saturday,,"Sukkot V (CH""M)",
20,20 Tishrei,Sunday,Moed Katan 3,Sukkot VI,
21,21 Tishrei,Monday,,Sukkot VII/Erev SA,"Sukkah, Moed Katan"
22,22 Tishrei,Tuesday,Taanit 1-2,SA,
23,23 Tishrei,Wednesday,,ST,
24,24 Tishrei,Thursday,Taanit 3-4,,
25,25 Tishrei,Friday,,,
26,26 Tishrei,Saturday,,Bereshit,Ta'anit
27,27 Tishrei,Sunday,Shabbat 1-2,,
28,28 Tishrei,Monday,Shabbat 3-4,,
29,29 Tishrei,Tuesday,Shabbat 5-6,,
30,30 Tishrei,Wednesday,Shabbat 7-8,,
31,1 Marheshvan,Thursday,Shabbat 9-10,,
32,2 Marheshvan,Friday,Shabbat 11-12,,
33,3 Marheshvan,Saturday,,Noah,Shabbat I
34,4 Marheshvan,Sunday,Shabbat 13-14,,
35,5 Marheshvan,Monday,Shabbat 15-16,,
36,6 Marheshvan,Tuesday,Shabbat 17-18,,
37,7 Marheshvan,Wednesday,Shabbat 19-20,,
38,8 Marheshvan,Thursday,Shabbat 21-22,,
39,9 Marheshvan,Friday,Shabbat 23-24,,
40,10 Marheshvan,Saturday,,Lekh-Lekha,Shabbat II
41,11 Marheshvan,Sunday,Eruvin 1-2,,
42,12 Marheshvan,Monday,Eruvin 3-4,,
43,13 Marheshvan,Tuesday,Eruvin 5-6,,
44,14 Marheshvan,Wednesday,Eruvin 7-8,,
45,15 Marheshvan,Thursday,Eruvin 9-10,,
46,16 Marheshvan,Friday,Berakhot 1-2,,
47,17 Marheshvan,Saturday,,Vayera,Eruvin
48,18 Marheshvan,Sunday,Berakhot 3-4,,
49,19 Marheshvan,Monday,Berakhot 5-6,,
50,20 Marheshvan,Tuesday,Berakhot 7-8,,
51,21 Marheshvan,Wednesday,Berakhot 9,,
52,22 Marheshvan,Thursday,Peah 1-2,,
53,23 Marheshvan,Friday,Peah 3-4,,
54,24 Marheshvan,Saturday,,Chayei Sarah,Berakhot
55,25 Marheshvan,Sunday,Peah 5-6,,
56,26 Marheshvan,Monday,Peah 7-8,,
57,27 Marheshvan,Tuesday,Demai 1-2,,
58,28 Marheshvan,Wednesday,Demai 3-4,,
59,29 Marheshvan,Thursday,Demai 5-6,,
60,1 Kislev,Friday,Demai 7; Kilayim 1,,
61,2 Kislev,Saturday,,Toldot,"Peah, Demai"
62,3 Kislev,Sunday,Kilayim 2-3,,
63,4 Kislev,Monday,Kilayim 4-5,,
64,5 Kislev,Tuesday,Kilayim 6-7,,
65,6 Kislev,Wednesday,Kilayim 8-9,,
66,7 Kislev,Thursday,Sheviit 1-2,,
67,8 Kislev,Friday,Sheviit 3-4,,
