Day #,Hebrew Date,Weekday,Schedule,Parsha,Completes
1,1 Tishrei,Tuesday,,RH I,
2,2 Tishrei,Wednesday,,RH II,
3,3 Tishrei,Thursday,,,
4,4 Tishrei,Friday,,,
5,5 Tishrei,Saturday,,Vayeilech,
6,6 Tishrei,Sunday,,,
7,7 Tishrei,Monday,,,
8,8 Tishrei,Tuesday,,,
9,9 Tishrei,Wednesday,,Erev Yom Kippur,
10,10 Tishrei,Thursday,,YK,
11,11 Tishrei,Friday,,,
12,12 Tishrei,Saturday,,Ha'azinu,
13,13 Tishrei,Sunday,,,
14,14 Tishrei,Monday,,Erev Sukkot,
15,15 Tishrei,Tuesday,,Sukkot I,
16,16 Tishrei,Wednesday,,Sukkot II,
17,17 Tishrei,Thursday,,Sukkot III,
18,18 Tishrei,Friday,,Sukkot IV,
19,19 Tishrei,Saturday,,"Sukkot V (CH""M)",
20,20 Tishrei,Sunday,,Sukkot VI,
21,21 Tishrei,Monday,,Sukkot VII/Erev SA,
22,22 Tishrei,Tuesday,,SA,
23,23 Tishrei,Wednesday,,ST,
24,24 Tishrei,Thursday,,,
25,25 Tishrei,Friday,,,
26,26 Tishrei,Saturday,,Bereshit,
27,27 Tishrei,Sunday,,,
28,28 Tishrei,Monday,,,
29,29 Tishrei,Tuesday,,,
30,30 Tishrei,Wednesday,,,
31,1 Marheshvan,Thursday,,,
32,2 Marheshvan,Friday,,,
33,3 Marheshvan,Saturday,,Noah,
34,4 Marheshvan,Sunday,,,
35,5 Marheshvan,Monday,,,
36,6 Marheshvan,Tuesday,,,
37,7 Marheshvan,Wednesday,,,
38,8 Marheshvan,Thursday,,,
39,9 Marheshvan,Friday,,,
40,10 Marheshvan,Saturday,,Lekh-Lekha,
41,11 Marheshvan,Sunday,,,
42,12 Marheshvan,Monday,,,
43,13 Marheshvan,Tuesday,,,
44,14 Marheshvan,Wednesday,,,
45,15 Marheshvan,Thursday,,,
46,16 Marheshvan,Friday,,,
47,17 Marheshvan,Saturday,,Vayera,
48,18 Marheshvan,Sunday,,,
49,19 Marheshvan,Monday,,,
50,20 Marheshvan,Tuesday,,,
51,21 Marheshvan,Wednesday,,,
52,22 Marheshvan,Thursday,,,
53,23 Marheshvan,Friday,,,
54,24 Marheshvan,Saturday,,Chayei Sarah,
55,25 Marheshvan,Sunday,,,
56,26 Marheshvan,Monday,,,
57,27 Marheshvan,Tuesday,,,
58,28 Marheshvan,Wednesday,,,
59,29 Marheshvan,Thursday,,,
60,1 Kislev,Friday,,,
61,2 Kislev,Saturday,,Toldot,
62,3 Kislev,Sunday,,,
63,4 Kislev,Monday,,,
64,5 Kislev,Tuesday,,,
65,6 Kislev,Wednesday,,,
66,7 Kislev,Thursday,,,
67,8 Kislev,Friday,,,
68,9 Kislev,Saturday,,Vayetzei,
69,10 Kislev,Sunday,,,
70,11 Kislev,Monday,,,
71,12 Kislev,Tuesday,,,
72,13 Kislev,Wednesday,,,
73,14 Kislev,Thursday,,,
74,15 Kislev,Friday,,,
75,16 Kislev,Saturday,,Vayishlach,
76,17 Kislev,Sunday,,,
77,18 Kislev,Monday,,,
78,19 Kislev,Tuesday,,,
79,20 Kislev,Wednesday,,,
80,21 Kislev,Thursday,,,
81,22 Kislev,Friday,,,
82,23 Kislev,Saturday,,Vayeshev,
83,24 Kislev,Sunday,,,
84,25 Kislev,Monday,,,
85,26 Kislev,Tuesday,,,
86,27 Kislev,Wednesday,,,
87,28 Kislev,Thursday,,,
88,29 Kislev,Friday,,,
89,30 Kislev,Saturday,,Miketz,
90,1 Tevet,Sunday,,,
91,2 Tevet,Monday,,,
92,3 Tevet,Tuesday,,,
93,4 Tevet,Wednesday,,,
94,5 Tevet,Thursday,,,
95,6 Tevet,Friday,,,
96,7 Tevet,Saturday,,Vayigash,
97,8 Tevet,Sunday,,,
98,9 Tevet,Monday,,,
99,10 Tevet,Tuesday,,,
100,11 Tevet,Wednesday,,,
101,12 Tevet,Thursday,,,
102,13 Tevet,Friday,,,
103,14 Tevet,Saturday,,Vayechi,
104,15 Tevet,Sunday,,,
105,16 Tevet,Monday,,,
106,17 Tevet,Tuesday,,,
107,18 Tevet,Wednesday,,,
108,19 Tevet,Thursday,,,
109,20 Tevet,Friday,,,
110,21 Tevet,Saturday,,Shemot,
111,22 Tevet,Sunday,,,
112,23 Tevet,Monday,,,
113,24 Tevet,Tuesday,,,
114,25 Tevet,Wednesday,,,
115,26 Tevet,Thursday,,,
116,27 Tevet,Friday,,,
117,28 Tevet,Saturday,,Vaera,
118,29 Tevet,Sunday,,,
119,1 Shevat,Monday,,,
120,2 Shevat,Tuesday,,,
121,3 Shevat,Wednesday,,,
122,4 Shevat,Thursday,,,
123,5 Shevat,Friday,,,
124,6 Shevat,Saturday,,Bo,
125,7 Shevat,Sunday,,,
126,8 Shevat,Monday,,,
127,9 Shevat,Tuesday,,,
128,10 Shevat,Wednesday,,,
129,11 Shevat,Thursday,,,
130,12 Shevat,Friday,,,
131,13 Shevat,Saturday,,Beshalach,
132,14 Shevat,Sunday,,,
133,15 Shevat,Monday,,,
134,16 Shevat,Tuesday,,,
135,17 Shevat,Wednesday,,,
136,18 Shevat,Thursday,,,
137,19 Shevat,Friday,,,
138,20 Shevat,Saturday,,Yitro,
139,21 Shevat,Sunday,,,
140,22 Shevat,Monday,,,
141,23 Shevat,Tuesday,,,
142,24 Shevat,Wednesday,,,
143,25 Shevat,Thursday,,,
144,26 Shevat,Friday,,,
145,27 Shevat,Saturday,,Mishpatim,
146,28 Shevat,Sunday,,,
147,29 Shevat,Monday,,,
148,30 Shevat,Tuesday,,,
149,1 Adar I,Wednesday,,,
150,2 Adar I,Thursday,,,
151,3 Adar I,Friday,,,
152,4 Adar I,Saturday,,Terumah,
153,5 Adar I,Sunday,,,
154,6 Adar I,Monday,,,
155,7 Adar I,Tuesday,,,
156,8 Adar I,Wednesday,,,
