Day #,Hebrew Date,Weekday,Schedule,Parsha,Completes
1,1 Tishrei,Saturday,,RH I,
2,2 Tishrei,Sunday,Rosh Hashanah 1-2,RH II,
3,3 Tishrei,Monday,Rosh Hashanah 3-4,,
4,4 Tishrei,Tuesday,Beitzah 1-3,,
5,5 Tishrei,Wednesday,Beitzah 4-5,,
6,6 Tishrei,Thursday,Yoma 1-3,,
7,7 Tishrei,Friday,Yoma 4-6,,
8,8 Tishrei,Saturday,,Ha'azinu,
9,9 Tishrei,Sunday,,Erev Yom Kippur,
10,10 Tishrei,Monday,Yoma 7-8,YK,
11,11 Tishrei,Tuesday,,,
12,12 Tishrei,Wednesday,Hagigah 1-2,,
13,13 Tishrei,Thursday,Hagigah 3,,
14,14 Tishrei,Friday,,Erev Sukkot,
15,15 Tishrei,Saturday,,Sukkot I,
16,16 Tishrei,Sunday,Sukkah 1-2,Sukkot II,
17,17 Tishrei,Monday,Sukkah 3-4,Sukkot III,
18,18 Tishrei,Tuesday,Sukkah 5,Sukkot IV,
19,19 Tishrei,Wednesday,Moed Katan 1-2,Sukkot V,
20,20 Tishrei,Thursday,Moed Katan 3,Sukkot VI,
21,21 Tishrei,Friday,,Sukkot VII/Erev SA,
22,22 Tishrei,Saturday,,SA,
23,23 Tishrei,Sunday,,ST,
24,24 Tishrei,Monday,Taanit 1-2,,
25,25 Tishrei,Tuesday,Taanit 3-4,,
26,26 Tishrei,Wednesday,Shabbat 1-2,,
27,27 Tishrei,Thursday,Shabbat 3-4,,
28,28 Tishrei,Friday,,,
29,29 Tishrei,Saturday,,Bereshit,
30,30 Tishrei,Sunday,Shabbat 5-6,,
31,1 Marheshvan,Monday,Shabbat 7-8,,
32,2 Marheshvan,Tuesday,Shabbat 9-10,,
33,3 Marheshvan,Wednesday,Shabbat 11-12,,
34,4 Marheshvan,Thursday,Shabbat 13-14,,
35,5 Marheshvan,Friday,Shabbat 15-16,,
36,6 Marheshvan,Saturday,,Noah,
37,7 Marheshvan,Sunday,Shabbat 17-18,,
38,8 Marheshvan,Monday,Shabbat 19-20,,
39,9 Marheshvan,Tuesday,Shabbat 21-22,,
40,10 Marheshvan,Wednesday,Shabbat 23-24,,
41,11 Marheshvan,Thursday,Eruvin 1-2,,
42,12 Marheshvan,Friday,,,
43,13 Marheshvan,Saturday,,Lekh-Lekha,
44,14 Marheshvan,Sunday,Eruvin 3-4,,
45,15 Marheshvan,Monday,Eruvin 5-6,,
46,16 Marheshvan,Tuesday,Eruvin 7-8,,
47,17 Marheshvan,Wednesday,Eruvin 9-10,,
48,18 Marheshvan,Thursday,Berakhot 1-2,,
49,19 Marheshvan,Friday,Berakhot 3-4,,
50,20 Marheshvan,Saturday,,Vayera,
51,21 Marheshvan,Sunday,Berakhot 5-6,,
52,22 Marheshvan,Monday,Berakhot 7-8,,
53,23 Marheshvan,Tuesday,Berakhot 9,,
54,24 Marheshvan,Wednesday,Peah 1-2,,
55,25 Marheshvan,Thursday,Peah 3-4,,
56,26 Marheshvan,Friday,,,
57,27 Marheshvan,Saturday,,Chayei Sarah,
58,28 Marheshvan,Sunday,Peah 5-6,,
59,29 Marheshvan,Monday,Peah 7-8,,
60,1 Kislev,Tuesday,Demai 1-2,,
61,2 Kislev,Wednesday,Demai 3-4,,
62,3 Kislev,Thursday,Demai 5-6,,
63,4 Kislev,Friday,Demai 7,,
64,5 Kislev,Saturday,,Toldot,
65,6 Kislev,Sunday,Kilayim 1-2,,
66,7 Kislev,Monday,Kilayim 3-4,,
67,8 Kislev,Tuesday,Kilayim 5-6,,
68,9 Kislev,Wednesday,Kilayim 7-8,,
69,10 Kislev,Thursday,Kilayim 9,,
70,11 Kislev,Friday,,,
71,12 Kislev,Saturday,,Vayetzei,
72,13 Kislev,Sunday,Sheviit 1-2,,
73,14 Kislev,Monday,Sheviit 3-4,,
74,15 Kislev,Tuesday,Sheviit 5-6,,
75,16 Kislev,Wednesday,Sheviit 7-8,,
76,17 Kislev,Thursday,Sheviit 9-10,,
77,18 Kislev,Friday,Terumot 1-2,,
78,19 Kislev,Saturday,,Vayishlach,
79,20 Kislev,Sunday,Terumot 3-4,,
80,21 Kislev,Monday,Terumot 5-6,,
81,22 Kislev,Tuesday,Terumot 7-8,,
82,23 Kislev,Wednesday,Terumot 9-10,,
83,24 Kislev,Thursday,Terumot 11,,
84,25 Kislev,Friday,,,
85,26 Kislev,Saturday,,Vayeshev,
86,27 Kislev,Sunday,Ma'aserot 1-2,,
87,28 Kislev,Monday,Ma'aserot 3-4,,
88,29 Kislev,Tuesday,Ma'aserot 5,,
89,1 Tevet,Wednesday,Ma'aser Sheni 1-2,,
90,2 Tevet,Thursday,Ma'aser Sheni 3-4,,
91,3 Tevet,Friday,Ma'aser Sheni 5,,
92,4 Tevet,Saturday,,Miketz,
93,5 Tevet,Sunday,Hallah 1-2,,
94,6 Tevet,Monday,Hallah 3-4,,
95,7 Tevet,Tuesday,Orlah 1-2,,
96,8 Tevet,Wednesday,Orlah 3,,
97,9 Tevet,Thursday,Keilim 1-2,,
98,10 Tevet,Friday,,,
99,11 Tevet,Saturday,,Vayigash,
100,12 Tevet,Sunday,Keilim 3-4,,
101,13 Tevet,Monday,Keilim 5-6,,
102,14 Tevet,Tuesday,Keilim 7-8,,
103,15 Tevet,Wednesday,Keilim 9-10,,
104,16 Tevet,Thursday,Keilim 11-12,,
105,17 Tevet,Friday,Keilim 13-14,,
106,18 Tevet,Saturday,,Vayechi,
107,19 Tevet,Sunday,Keilim 15-16,,
108,20 Tevet,Monday,Keilim 17-18,,
109,21 Tevet,Tuesday,Keilim 19-20,,
110,22 Tevet,Wednesday,Keilim 21-22,,
