Day #,Hebrew Date,Weekday,Schedule,Parsha,Completes
1,1 Tishrei,Monday,,RH I,
2,2 Tishrei,Tuesday,,RH II,
3,3 Tishrei,Wednesday,,,
4,4 Tishrei,Thursday,,,
5,5 Tishrei,Friday,,,
6,6 Tishrei,Saturday,,Vayeilech,
7,7 Tishrei,Sunday,,,
8,8 Tishrei,Monday,,,
9,9 Tishrei,Tuesday,,Erev Yom Kippur,
10,10 Tishrei,Wednesday,,YK,
11,11 Tishrei,Thursday,,,
12,12 Tishrei,Friday,,,
13,13 Tishrei,Saturday,,Ha'azinu,
14,14 Tishrei,Sunday,,Erev Sukkot,
15,15 Tishrei,Monday,,Sukkot I,
16,16 Tishrei,Tuesday,,Sukkot II,
17,17 Tishrei,Wednesday,,Sukkot III,
18,18 Tishrei,Thursday,,Sukkot IV,
19,19 Tishrei,Friday,,Sukkot V,
20,20 Tishrei,Saturday,,"Sukkot VI (CH""M)",
21,21 Tishrei,Sunday,,Sukkot VII/Erev SA,
22,22 Tishrei,Monday,,SA,
23,23 Tishrei,Tuesday,,ST,
24,24 Tishrei,Wednesday,,,
25,25 Tishrei,Thursday,,,
26,26 Tishrei,Friday,,,
27,27 Tishrei,Saturday,,Bereshit,
28,28 Tishrei,Sunday,,,
29,29 Tishrei,Monday,,,
30,30 Tishrei,Tuesday,,,
31,1 Marheshvan,Wednesday,,,
32,2 Marheshvan,Thursday,,,
33,3 Marheshvan,Friday,,,
34,4 Marheshvan,Saturday,,Noah,
35,5 Marheshvan,Sunday,,,
36,6 Marheshvan,Monday,,,
37,7 Marheshvan,Tuesday,,,
38,8 Marheshvan,Wednesday,,,
39,9 Marheshvan,Thursday,,,
40,10 Marheshvan,Friday,,,
41,11 Marheshvan,Saturday,,Lekh-Lekha,
42,12 Marheshvan,Sunday,,,
43,13 Marheshvan,Monday,,,
44,14 Marheshvan,Tuesday,,,
45,15 Marheshvan,Wednesday,,,
46,16 Marheshvan,Thursday,,,
47,17 Marheshvan,Friday,,,
48,18 Marheshvan,Saturday,,Vayera,
49,19 Marheshvan,Sunday,,,
50,20 Marheshvan,Monday,,,
51,21 Marheshvan,Tuesday,,,
52,22 Marheshvan,Wednesday,,,
53,23 Marheshvan,Thursday,,,
54,24 Marheshvan,Friday,,,
55,25 Marheshvan,Saturday,,Chayei Sarah,
56,26 Marheshvan,Sunday,,,
57,27 Marheshvan,Monday,,,
58,28 Marheshvan,Tuesday,,,
59,29 Marheshvan,Wednesday,,,
60,30 Marheshvan,Thursday,,,
61,1 Kislev,Friday,,,
62,2 Kislev,Saturday,,Toldot,
63,3 Kislev,Sunday,,,
64,4 Kislev,Monday,,,
65,5 Kislev,Tuesday,,,
66,6 Kislev,Wednesday,,,
67,7 Kislev,Thursday,,,
68,8 Kislev,Friday,,,
69,9 Kislev,Saturday,,Vayetzei,
70,10 Kislev,Sunday,,,
71,11 Kislev,Monday,,,
72,12 Kislev,Tuesday,,,
73,13 Kislev,Wednesday,,,
74,14 Kislev,Thursday,,,
75,15 Kislev,Friday,,,
76,16 Kislev,Saturday,,Vayishlach,
77,17 Kislev,Sunday,,,
78,18 Kislev,Monday,,,
79,19 Kislev,Tuesday,,,
80,20 Kislev,Wednesday,,,
81,21 Kislev,Thursday,,,
82,22 Kislev,Friday,,,
83,23 Kislev,Saturday,,Vayeshev,
84,24 Kislev,Sunday,,,
85,25 Kislev,Monday,,,
86,26 Kislev,Tuesday,,,
87,27 Kislev,Wednesday,,,
88,28 Kislev,Thursday,,,
89,29 Kislev,Friday,,,
90,30 Kislev,Saturday,,Miketz,
91,1 Tevet,Sunday,,,
92,2 Tevet,Monday,,,
93,3 Tevet,Tuesday,,,
94,4 Tevet,Wednesday,,,
95,5 Tevet,Thursday,,,
96,6 Tevet,Friday,,,
97,7 Tevet,Saturday,,Vayigash,
98,8 Tevet,Sunday,,,
99,9 Tevet,Monday,,,
100,10 Tevet,Tuesday,,,
101,11 Tevet,Wednesday,,,
102,12 Tevet,Thursday,,,
103,13 Tevet,Friday,,,
104,14 Tevet,Saturday,,Vayechi,
105,15 Tevet,Sunday,,,
106,16 Tevet,Monday,,,
107,17 Tevet,Tuesday,,,
108,18 Tevet,Wednesday,,,
109,19 Tevet,Thursday,,,
110,20 Tevet,Friday,,,
111,21 Tevet,Saturday,,Shemot,
112,22 Tevet,Sunday,,,
113,23 Tevet,Monday,,,
114,24 Tevet,Tuesday,,,
115,25 Tevet,Wednesday,,,
116,26 Tevet,Thursday,,,
117,27 Tevet,Friday,,,
118,28 Tevet,Saturday,,Vaera,
119,29 Tevet,Sunday,,,
120,1 Shevat,Monday,,,
121,2 Shevat,Tuesday,,,
122,3 Shevat,Wednesday,,,
123,4 Shevat,Thursday,,,
124,5 Shevat,Friday,,,
125,6 Shevat,Saturday,,Bo,
126,7 Shevat,Sunday,,,
127,8 Shevat,Monday,,,
128,9 Shevat,Tuesday,,,
129,10 Shevat,Wednesday,,,
130,11 Shevat,Thursday,,,
131,12 Shevat,Friday,,,
132,13 Shevat,Saturday,,Beshalach,
133,14 Shevat,Sunday,,,
134,15 Shevat,Monday,,,
135,16 Shevat,Tuesday,,,
136,17 Shevat,Wednesday,,,
137,18 Shevat,Thursday,,,
138,19 Shevat,Friday,,,
139,20 Shevat,Saturday,,Yitro,
140,21 Shevat,Sunday,,,
141,22 Shevat,Monday,,,
142,23 Shevat,Tuesday,,,
143,24 Shevat,Wednesday,,,
144,25 Shevat,Thursday,,,
145,26 Shevat,Friday,,,
146,27 Shevat,Saturday,,Mishpatim,
147,28 Shevat,Sunday,,,
148,29 Shevat,Monday,,,
149,30 Shevat,Tuesday,,,
150,1 Adar I,Wednesday,,,
151,2 Adar I,Thursday,,,
152,3 Adar I,Friday,,,
153,4 Adar I,Saturday,,Terumah,
154,5 Adar I,Sunday,,,
155,6 Adar I,Monday,,,
156,7 Adar I,Tuesday,,,
157,8 Adar I,Wednesday,,,
158,9 Adar I,Thursday,,,
159,10 Adar I,Friday,,,
160,11 Adar I,Saturday,,Tetzaveh,
161,12 Adar I,Sunday,,,
162,13 Adar I,Monday,,,
163,14 Adar I,Tuesday,,,
164,15 Adar I,Wednesday,,,
165,16 Adar I,Thursday,,,
166,17 Adar I,Friday,,,
167,18 Adar I,Saturday,,Ki Tisa,
168,19 Adar I,Sunday,,,
169,20 Adar I,Monday,,,
170,21 Adar I,Tuesday,,,
171,22 Adar I,Wednesday,,,
172,23 Adar I,Thursday,,,
173,24 Adar I,Friday,,,
174,25 Adar I,Saturday,,Vayakhel,
175,26 Adar I,Sunday,,,
176,27 Adar I,Monday,,,
177,28 Adar I,Tuesday,,,
178,29 Adar I,Wednesday,,,
179,30 Adar I,Thursday,,,
180,1 Adar II,Friday,,,
181,2 Adar II,Saturday,,Pekudei,
182,3 Adar II,Sunday,,,
183,4 Adar II,Monday,,,
184,5 Adar II,Tuesday,,,
185,6 Adar II,Wednesday,,,
186,7 Adar II,Thursday,,,
187,8 Adar II,Friday,,,
188,9 Adar II,Saturday,,Vayikra,
189,10 Adar II,Sunday,,,
190,11 Adar II,Monday,,,
191,12 Adar II,Tuesday,,,
192,13 Adar II,Wednesday,,Ta'anit Esther,
193,14 Adar II,Thursday,,Purim,
194,15 Adar II,Friday,,,
195,16 Adar II,Saturday,,Tzav,
196,17 Adar II,Sunday,,,
197,18 Adar II,Monday,,,
198,19 Adar II,Tuesday,,,
199,20 Adar II,Wednesday,,,
200,21 Adar II,Thursday,,,
201,22 Adar II,Friday,,,
202,23 Adar II,Saturday,,Shmini,
203,24 Adar II,Sunday,,,
